model_type,model_name,selected_features,n_features,mae_score,feature_order,method
Linear,ridge,"emp_length, dti, revol_util, fico_avg, total_acc, total_bc_limit, int_rate, bc_open_to_buy, home_ownership_MORTGAGE, num_rev_tl_bal_gt_0, annual_inc, percent_bc_gt_75, pub_rec_bankruptcies, num_accts_ever_120_pd, num_sats, loan_status, acc_now_delinq, bc_util, total_rev_hi_lim, home_ownership_OWN",20,0.07609768120785083,"num_rev_accts, verification_status_Source Verified, open_acc, home_ownership_NONE, chargeoff_within_12_mths, revol_bal, num_actv_rev_tl, home_ownership_OTHER",backward
Linear,lasso,"fico_avg, emp_length, int_rate, revol_util, dti",5,0.17542044255872263,"term, emp_length, annual_inc, dti, delinq_2yrs, fico_avg, inq_last_6mths, open_acc, pub_rec, revol_bal, revol_util, total_acc, acc_now_delinq, tot_cur_bal, total_rev_hi_lim, avg_cur_bal, bc_open_to_buy, bc_util, chargeoff_within_12_mths, mort_acc, num_accts_ever_120_pd, num_actv_rev_tl, num_bc_sats, num_bc_tl, num_op_rev_tl, num_rev_accts, num_rev_tl_bal_gt_0, num_sats, pct_tl_nvr_dlq, percent_bc_gt_75, pub_rec_bankruptcies, tax_liens, tot_hi_cred_lim, total_bal_ex_mort, total_bc_limit, total_il_high_credit_limit, home_ownership_MORTGAGE, home_ownership_NONE, home_ownership_OTHER, home_ownership_OWN, home_ownership_RENT, verification_status_Source Verified, verification_status_Verified, loan_status, grade, sub_grade, loan_amnt",backward
Linear,elasticnet,"fico_avg, emp_length, int_rate, revol_util, dti",5,0.17542044255872263,"term, emp_length, annual_inc, dti, delinq_2yrs, fico_avg, inq_last_6mths, open_acc, pub_rec, revol_bal, revol_util, total_acc, acc_now_delinq, tot_cur_bal, total_rev_hi_lim, avg_cur_bal, bc_open_to_buy, bc_util, chargeoff_within_12_mths, mort_acc, num_accts_ever_120_pd, num_actv_rev_tl, num_bc_sats, num_bc_tl, num_op_rev_tl, num_rev_accts, num_rev_tl_bal_gt_0, num_sats, pct_tl_nvr_dlq, percent_bc_gt_75, pub_rec_bankruptcies, tax_liens, tot_hi_cred_lim, total_bal_ex_mort, total_bc_limit, total_il_high_credit_limit, home_ownership_MORTGAGE, home_ownership_NONE, home_ownership_OTHER, home_ownership_OWN, home_ownership_RENT, verification_status_Source Verified, verification_status_Verified, loan_status, grade, sub_grade, loan_amnt",backward
